Subject,Start Date,Start Time,End Date,End Time,Description,Location,Private
Low Tide: 0.139 ft.,01/13/2021,03:47 PM,01/13/2021,04:17 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.371 ft.,01/13/2021,08:56 PM,01/13/2021,09:26 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.083 ft.,01/14/2021,03:28 AM,01/14/2021,03:58 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.552 ft.,01/14/2021,09:21 AM,01/14/2021,09:51 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.132 ft.,01/14/2021,04:29 PM,01/14/2021,04:59 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.376 ft.,01/14/2021,09:43 PM,01/14/2021,10:13 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.083 ft.,01/15/2021,04:11 AM,01/15/2021,04:41 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.528 ft.,01/15/2021,10:07 AM,01/15/2021,10:37 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.124 ft.,01/15/2021,05:11 PM,01/15/2021,05:41 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.373 ft.,01/15/2021,10:31 PM,01/15/2021,11:01 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.093 ft.,01/16/2021,04:55 AM,01/16/2021,05:25 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.491 ft.,01/16/2021,10:54 AM,01/16/2021,11:24 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.110 ft.,01/16/2021,05:56 PM,01/16/2021,06:26 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.368 ft.,01/16/2021,11:28 PM,01/16/2021,11:58 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.107 ft.,01/17/2021,05:43 AM,01/17/2021,06:13 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
